"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2019","100.90","100.50","101.90","100.40","14.13K","0.05%"
"Sep 26, 2019","100.85","101.40","102.90","100.05","17.31K","-0.10%"
"Sep 25, 2019","100.95","98.90","101.55","97.25","24.94K","1.82%"
"Sep 24, 2019","99.15","98.85","100.35","98.45","13.62K","0.15%"
"Sep 23, 2019","99.00","98.50","100.90","98.15","17.16K","0.61%"
"Sep 20, 2019","98.40","98.50","99.75","98.05","22.02K","0.05%"
"Sep 19, 2019","98.35","100.35","100.75","98.10","17.60K","-2.31%"
"Sep 18, 2019","100.68","100.83","101.83","100.13","-","0.08%"
"Sep 17, 2019","100.60","103.60","104.05","99.98","-","-3.11%"
"Sep 16, 2019","103.83","102.00","104.90","101.68","-","1.32%"
"Sep 13, 2019","102.48","103.23","103.60","102.08","-","-0.97%"
"Sep 12, 2019","103.48","102.68","103.85","101.18","-","3.33%"
"Sep 11, 2019","100.15","101.15","101.15","101.15","0.00K","-1.60%"
"Sep 10, 2019","101.78","98.68","102.25","98.03","-","3.02%"
"Sep 09, 2019","98.80","96.88","99.20","95.38","-","2.07%"
"Sep 06, 2019","96.80","95.18","97.35","95.03","-","1.81%"
"Sep 05, 2019","95.08","96.88","97.45","95.08","-","-1.59%"
"Sep 04, 2019","96.62","95.80","96.95","95.53","-","1.09%"
"Sep 03, 2019","95.58","95.23","96.60","94.23","-","2.12%"
"Aug 30, 2019","93.60","93.30","93.30","93.30","0.01K","1.85%"
"Aug 29, 2019","91.90","93.35","93.35","93.35","0.01K","-2.44%"
"Aug 28, 2019","94.20","93.00","93.90","92.85","0.01K","0.43%"
"Aug 27, 2019","93.80","93.85","93.85","93.40","0.01K","-0.37%"
"Aug 26, 2019","94.15","92.15","94.85","92.15","0.03K","1.67%"
"Aug 23, 2019","92.60","92.85","92.85","92.00","0.02K","-0.96%"
"Aug 22, 2019","93.50","93.15","93.60","92.25","0.11K","0.70%"
"Aug 21, 2019","92.85","91.65","93.85","91.65","16.53K","1.53%"
