,Closing Price,LR Predicted,Ridge Predicted,Decision Tree Predicted,Lasso Predicted,ElasticNet Predicted
2044,,122.7970574943542,122.79705652296256,126.25,123.73240445132349,123.73008836902065
2045,,118.45566759182655,118.45568250131042,118.15,118.6574805104971,118.65658229495843
2046,,150.05159716643738,150.051520951264,149.9,150.20051127942278,150.19932721989304
2047,,117.9975939475429,117.99761547818494,118.25,117.5251745564546,117.5265373674101
2048,,123.45381396138043,123.45381827158567,123.85,123.03737045655744,123.03803116118407
2049,,134.33344871579288,134.33342236784233,135.8,134.16847557109054,134.16940445294088
2050,,152.85270941253884,152.85262901808315,153.64,152.43056986773692,152.43100924443394
2051,,104.38848828357445,104.38854946796496,103.41,103.62915460631433,103.63076959485643
2052,,134.11984387483028,134.11981630586735,133.76,133.6557496565966,133.6558092268596
2053,,95.04747580882426,95.04755929314712,94.15,95.01458672626923,95.01433033454029
2054,,144.97562055197153,144.97556005280643,145.6,145.08292903136075,145.08226383528256
2055,,66.47297013270854,66.47313646111584,66.4,66.6044478820386,66.60466319786538
2056,,62.320942331330876,62.321121328530765,61.95,62.20805750635677,62.2085787659876
2057,,123.87366708949551,123.87366759455477,122.95,124.07061086474302,124.0702103944128
2058,,216.11365521196245,216.1133920013317,218.4,215.89492850964632,215.89468282379175
2059,,106.63530142540574,106.63535450353234,107.2,106.21574775393427,106.21667264924501
2060,,261.8819314922015,261.881532958345,264.85,262.9482832123945,262.9463642750047
2061,,114.67712526927903,114.67714876868709,114.44,115.31811389291694,115.31629039695464
2062,,116.76105814853551,116.76107814570138,116.99,116.95436092668271,116.95356570629174
2063,,126.13029836925492,126.13029594802943,126.56,125.7755948068527,125.77668392032245
2064,,195.39202756478073,195.39181852969057,196.88,196.35768448242086,196.35532029770079
2065,,169.43058899826826,169.43045512040558,172.3,170.0642316499449,170.06216613305108
2066,,137.03102254386772,137.0309848416801,136.56,136.999424095223,136.99875363807627
2067,,234.06836638467797,234.06805221906112,233.44,233.5402202665937,233.54013551246223
2068,,68.62476885432065,68.62492675310646,68.9,68.91547635411264,68.9147052220933
2069,,57.35819594426994,57.35838995827076,58.0,57.23743716805515,57.2383153280236
2070,,125.83492846811,125.83492475201787,126.65,125.68789947866746,125.68806608979203
2071,,94.21057634538678,94.2106659623882,97.8,93.85671701251238,93.85807706468515
2072,,109.86378010291733,109.86382227329018,109.9,109.70765612437592,109.70788285999232
2073,,72.9109846654354,72.91113319046276,73.05,72.65533659074315,72.65577256229693
2074,,130.18165871096136,130.1816436813417,132.05,129.73136342110652,129.7319879722871
2075,,92.72386305267177,92.72395111144002,92.65,93.15921841163407,93.15810958572686
2076,,237.30266453614183,237.3023394972407,236.3,237.44918273798336,237.44849128230874
2077,,101.00219054623403,101.00225939920352,101.95,100.71660028052513,100.71738616076892
2078,,147.56271818295227,147.56265067589183,146.95,147.32981336510983,147.329271463453
2079,,99.91330451742003,99.91337446163821,100.4,99.76829757237182,99.76820033435216
2080,,114.36371708167219,114.36374580667767,114.65,114.12936454419795,114.12932987872199
2081,,94.32018642687832,94.32026093953469,96.15,96.94696742432501,96.94221237238821
2082,,112.77635095604597,112.77638143093505,113.0,113.0395480284463,113.03834588750588
2083,,61.24608418669548,61.24626273688341,60.95,61.607502741079244,61.60652680689555
2084,,113.1887510566882,113.18877380139607,113.95,115.0331140747069,115.02924789019728
2085,,140.98680688345672,140.98675747140956,142.33,141.00548652534866,141.0046551478997
2086,,185.58276761428732,185.582586531897,182.2,186.41811024098067,186.4156592922293
2087,,74.39505435764877,74.39519692916369,74.2,74.50074271647485,74.5004778439361
2088,,46.39342972521276,46.393652759571026,45.85,46.53265855810652,46.532512629036
2089,,103.28881376206374,103.28887265791131,102.9,103.28247898070177,103.28178819539892
2090,,117.63954384817326,117.6395630327374,118.15,117.53121016062406,117.53112632903058
2091,,140.61897477475299,140.61892645352,141.24,140.59316603536612,140.59234385763196
2092,,97.9215838074141,97.92165940878627,98.4,97.89356948516128,97.89347028754185
2093,,215.1353491687712,215.13510092802758,213.3,214.37156405444804,214.3766671720611
2094,,173.85781744447274,173.85768475744123,174.9,173.20037876385842,173.2042997872285
2095,,100.8557590122913,100.85582498366426,100.65,100.98708818050491,100.98646781749785
2096,,123.06090717870906,123.06090890540223,122.81,123.13252775244288,123.13161170809936
2097,,127.50033426755138,127.50032484258706,130.25,127.64519784007997,127.64499361350602
2098,,116.35954426770334,116.35956672616017,116.6,116.1667222391842,116.16644879412928
2099,,95.02109004399101,95.02117650918376,95.15,94.69572280509661,94.6967164856268
2100,,174.93811680464256,174.9379726371606,174.13,174.17140435015307,174.17155804951668
2101,,252.78168814738893,252.7813083658432,263.2,254.81245784903712,254.80742953129658
2102,,158.6339169704961,158.63381447516096,159.34,159.4554784138344,159.45364809641615
2103,,86.34284864303666,86.34295802995277,85.85,86.36430691057494,86.36449261688472
2104,,86.52138446952455,86.5214916691854,86.7,86.54620194673737,86.54563899712683
2105,,120.70343380700717,120.70344639791588,122.85,120.21291329766287,120.2137415331926
2106,,64.94481975687415,64.94498721307323,65.05,65.42882429261796,65.42764565769605
2107,,69.33508703039885,69.33524778654979,68.0,69.1049704741116,69.106299534801
2108,,48.39495294509899,48.395170068668136,47.8,48.61286586756825,48.612653698962056
2109,,58.16979889591579,58.1699872826896,58.4,58.336064196457755,58.33551382609691
2110,,181.9519775646641,181.95182361320772,185.0,181.63687018551514,181.64170708506467
2111,,100.36697815513413,100.367050640352,101.05,99.98432605454744,99.9859061486076
2112,,117.42767740126429,117.42769557803118,116.95,117.65374116618484,117.65299124401126
2113,,81.86450560042016,81.86463020870875,81.75,81.57084062685804,81.57204376805686
2114,,102.43658218939102,102.43664753401832,102.4,102.1282774452841,102.12932795725595
